dates,market_caps,prices
2022-06-01,0.0,1.3984243604618247
2022-06-02,266010907.71171966,1.237602851542276
2022-06-03,329931039.59743464,1.5448237166141074
2022-06-04,296555109.9165962,1.3793518450373485
2022-06-05,296884152.0696716,1.391599291616283
2022-06-06,254918900.81469655,1.1718335877194317
2022-06-07,285576157.7216218,1.3241110554897875
2022-06-08,240640711.0406964,1.11424083988749
2022-06-09,156383270.00552315,0.7274057133510842
2022-06-10,178371839.25224426,0.8272260955805965
2022-06-11,186882631.11897224,0.8748051592783558
2022-06-12,165103916.0124497,0.7593274106150699
2022-06-13,141482056.70605773,0.6535740460023031
2022-06-14,113793832.2097789,0.5341171879553153
2022-06-15,122410692.3595403,0.5705361328404825
2022-06-16,126285430.46739979,0.587183059298845
2022-06-17,105384491.65804592,0.4891872416134628
2022-06-18,111408234.9990274,0.5191419038927495
2022-06-19,95583222.17757276,0.4510411527760327
2022-06-20,108106110.80337994,0.5069282052130033
2022-06-21,108565062.45068626,0.505144921331425
2022-06-22,110389172.39909056,0.5120908145327199
2022-06-23,99730368.3281958,0.4614047805213943
2022-06-24,112945890.06614667,0.5248762761949801
2022-06-25,128066431.56682974,0.5932772199907088
2022-06-26,125423430.7476726,0.5817050438143435
2022-06-27,120292887.80827019,0.5547784500131488
2022-06-28,115270678.07668203,0.536431152394426
2022-06-29,112591508.46552895,0.5290687255760484
2022-06-30,124949781.01561639,0.5816922309669
2022-07-01,114874740.4625257,0.5381826888785517
2022-07-02,115284906.19600956,0.532399124546598
2022-07-03,112957255.35756114,0.5265215997459488
2022-07-04,111878871.73716195,0.5206995040420955
2022-07-05,120987861.52156961,0.5630484516768679
2022-07-06,112225800.03338617,0.5235721932496522
2022-07-07,117664306.77473314,0.5445954292635213
2022-07-08,123577466.53798795,0.5764931966767604
2022-07-09,124593649.71292955,0.5767393638252891
2022-07-10,123605314.83825053,0.575984105328035
2022-07-11,115228525.0833306,0.5341956984065243
2022-07-12,103658885.98513924,0.4821162941988037
2022-07-13,97449494.50706671,0.45232964097200357
2022-07-14,100930744.42335905,0.47033698277186375
2022-07-15,106151307.61786084,0.49248175623710155
2022-07-16,103408280.81160307,0.4811528917713316
2022-07-17,111986420.19176061,0.5206229289603378
2022-07-18,125206493.24803409,0.5800158318439751
2022-07-19,174440338.44211775,0.8164657149623685
2022-07-20,153868323.76047453,0.7178599899760572
2022-07-21,148764416.40181664,0.6869510476986517
2022-07-22,164639607.2613797,0.7686113032060343
2022-07-23,178652419.6184686,0.8273563355114107
2022-07-24,201280127.0028966,0.9380608798779715
2022-07-25,199367934.93292466,0.9228782972036856
2022-07-26,175118716.19409028,0.8025880419616809
2022-07-27,175970834.1544934,0.8213311390692773
2022-07-28,225057775.60495594,1.0536993519054652
2022-07-29,307776165.06049144,1.4340785825781186
2022-07-30,395168303.65671796,1.8314939867213627
2022-07-31,380606167.1228829,1.8021672964250726
2022-08-01,342832086.0305156,1.590165760266356
2022-08-02,322220604.2170982,1.5106944533792785
2022-08-03,347461603.1075659,1.6143018743780355
2022-08-04,433098716.70257384,1.9987195512505707
2022-08-05,410701776.36722666,1.9184392154802923
2022-08-06,414045208.30785197,1.9280611030604669
2022-08-07,412802764.25414205,1.919091142222308
2022-08-08,410959670.3753754,1.912903098714543
2022-08-09,407924935.4795138,1.8985020094584837
2022-08-10,349970171.77188605,1.6303298198863683
2022-08-11,334978937.6705847,1.5600413915101283
2022-08-12,336603642.7421796,1.5652029052286247
2022-08-13,349226003.36580557,1.6422031436729736
2022-08-14,330371817.76967156,1.5382283153786687
2022-08-15,309614061.87044406,1.440997849681339
2022-08-16,333082077.6299767,1.5424890386841643
2022-08-17,311844383.3336597,1.452240132794068
2022-08-18,283248882.2654214,1.3171932134995359
2022-08-19,258518771.9510214,1.1997500862965875
2022-08-20,261877423.38123554,1.2197630087103053
2022-08-21,242531432.82580447,1.1307920943367076
2022-08-22,254178267.1137656,1.181936792623258
2022-08-23,248155828.6717906,1.1641724299326168
2022-08-24,285592435.94543236,1.333098446718018
2022-08-25,263118757.95264128,1.2264628713820378
2022-08-26,253528774.49744183,1.1797634401959898
2022-08-27,218330039.57972714,1.0160141023612492
2022-08-28,221816068.66123185,1.0328945886354706
2022-08-29,227460309.38102683,1.06340182245853
2022-08-30,252935521.79629678,1.1745570261878193
2022-08-31,233380246.49933317,1.0785912603882484
2022-09-01,241634485.51359537,1.1251129070545747
2022-09-02,253867151.19552103,1.1812929428118344
2022-09-03,264797576.7310528,1.231996721870372
2022-09-04,256483625.57632136,1.1938103308785795
2022-09-05,251525530.96123862,1.1713664839483777
2022-09-06,257870256.26710793,1.1964542705466041
2022-09-07,237905244.73692745,1.103810454232256
2022-09-08,252713134.21148437,1.1734407965779265
2022-09-09,253628390.61156654,1.1803050561567379
2022-09-10,302385736.538992,1.4114196025545491
2022-09-11,299045328.7397037,1.3916427046115818
2022-09-12,300170260.7885944,1.3994281086894094
2022-09-13,270271863.80620885,1.257539699978385
2022-09-14,252821460.1334154,1.179616816562625
2022-09-15,259365005.59366536,1.2158252792395279
2022-09-16,243167080.41690856,1.1287090126646377
2022-09-17,236646472.58275196,1.1027373163185274
2022-09-18,242822155.6272175,1.1327300531161755
2022-09-19,199351277.70304546,0.9284979926184671
2022-09-20,205792026.3462466,0.9578972377263342
2022-09-21,197966573.71241084,0.9196855166567365
2022-09-22,192010182.7958185,0.8969349958923728
2022-09-23,201446603.94001198,0.9416327770176861
2022-09-24,204241145.97663337,0.9483692000621188
2022-09-25,197460616.2642946,0.9194976476221093
2022-09-26,194073518.54270068,0.9043066042723775
2022-09-27,197503093.71622854,0.9223219858974464
2022-09-28,198006940.74727172,0.9196209297976241
2022-09-29,195276584.57311407,0.9095820702085875
2022-09-30,194138279.66853726,0.9054108107609627
2022-10-01,195909683.9550176,0.9121832990161697
2022-10-02,191896997.91244155,0.8936576484905298
2022-10-03,181817309.01660404,0.8441192293819304
2022-10-04,187204958.1734881,0.8713222715240774
2022-10-05,187125486.87063703,0.8726110580134039
2022-10-06,184742397.87363538,0.8610791578694368
2022-10-07,182633052.5100955,0.8504151368098242
2022-10-08,181314314.69706592,0.8453231498009631
2022-10-09,179162241.74273276,0.8353934031239887
2022-10-10,180920501.80856016,0.8440305348270194
2022-10-11,162925288.89447397,0.7573801080058621
2022-10-12,159011870.45271832,0.7407088422742231
2022-10-13,160730556.8798047,0.747370432232448
2022-10-14,157924204.08343768,0.7356996268177477
2022-10-15,153493806.36030936,0.7168880133219852
2022-10-16,147488158.68984088,0.686692359241862
2022-10-17,149842809.30523303,0.6987994544879578
2022-10-18,163645361.31100675,0.7642489257407922
2022-10-19,159372388.8101661,0.7419101316689852
2022-10-20,147915785.48674655,0.6888509412616807
2022-10-21,144310627.21790302,0.671864237509367
2022-10-22,157788045.15437895,0.7319147557702889
2022-10-23,161398143.91286862,0.7487094323963716
2022-10-24,179482052.04737172,0.8352085826848313
2022-10-25,181289200.80252436,0.843729577868855
2022-10-26,208808400.9465926,0.9703282182706074
2022-10-27,239478036.38100928,1.1154857079541107
2022-10-28,229877650.68875742,1.0717960319775426
2022-10-29,248028603.21111524,1.1551201521395016
2022-10-30,231471183.88215002,1.0818930738654906
2022-10-31,223231567.09893534,1.0414152841791855
2022-11-01,223062130.4523722,1.0385772993197728
2022-11-02,215056830.20800713,1.0023441393873471
2022-11-03,221809733.71383616,1.0302466162220074
2022-11-04,239514327.3403903,1.1164783078450187
2022-11-05,287476925.6820769,1.3500192860813953
2022-11-06,281096710.6840146,1.3103096849932554
2022-11-07,277426703.4245308,1.2864657565604403
2022-11-08,282586112.5882931,1.3164652999983923
2022-11-09,208582869.83042875,0.9653176536836483
2022-11-10,169005225.80889452,0.7855562468899598
2022-11-11,224928695.60502633,1.0475859620170167
2022-11-12,216002796.76446533,1.0170294923248537
2022-11-13,196283233.821456,0.9165239682963657
2022-11-14,191326456.3538294,0.9032864494563604
2022-11-15,198377430.04191038,0.9244704799960879
2022-11-16,199792102.06058854,0.9303156177837254
2022-11-17,193232584.6138675,0.9011905089736376
2022-11-18,191462967.40854722,0.8902117305754123
2022-11-19,196875524.41241354,0.9176247826586492
2022-11-20,199882572.26011124,0.9315729658858393
2022-11-21,182274523.6225323,0.8486920426004717
2022-11-22,181797847.27832815,0.8480006573977423
2022-11-23,184113845.1346487,0.8577572364113905
2022-11-24,200459829.005001,0.9331321721596594
2022-11-25,203692105.65360993,0.9477747271592329
2022-11-26,198026608.60892472,0.9216059364609392
2022-11-27,194800685.2470247,0.9073771103414197
2022-11-28,190532419.59828314,0.8840795677536325
2022-11-29,187755106.80749178,0.8739494576285893
2022-11-30,191610793.33396664,0.8922572868595209
2022-12-01,216703381.9318398,1.007426510714012
2022-12-02,226679726.58284572,1.054708105779568
2022-12-03,237756905.66549408,1.106686590293252
2022-12-04,224830183.85980222,1.0422196931694983
2022-12-05,227419128.27705047,1.0656578836911306
2022-12-06,221258799.20983076,1.0293659332567782
2022-12-07,228477492.96666637,1.0588926354988473
2022-12-08,219499153.3767882,1.0220758857056913
2022-12-09,232527338.6209097,1.081915801337139
2022-12-10,229741174.09878227,1.0701741050101516
2022-12-11,224055363.77335715,1.0468264487883663
2022-12-12,218093696.54695174,1.016729403317145
2022-12-13,223464854.40782174,1.0409321151063708
2022-12-14,242822525.6297979,1.1301902032763644
2022-12-15,247407543.3684619,1.1524442540210047
2022-12-16,228213686.03110158,1.0627113181025454
2022-12-17,201509811.93304458,0.9404559960216583
2022-12-18,202090808.32322714,0.9440868478570358
2022-12-19,200486042.0191488,0.9258894210707369
2022-12-20,190055401.3552144,0.8852605557430585
2022-12-21,209713583.3701492,0.9744523477457342
2022-12-22,205873749.97128332,0.9611851766201785
2022-12-23,204076333.53059933,0.9505539300344252
2022-12-24,205002452.90581506,0.9544100542808003
2022-12-25,200252579.99812108,0.9320582791301477
2022-12-26,200091306.2244639,0.9325244474825993
2022-12-27,203061706.36033833,0.9470806576750721
2022-12-28,201520944.25246444,0.9396973502933254
2022-12-29,192426469.28301716,0.8956578083930916
2022-12-30,196497278.14846998,0.9149731994402017
2022-12-31,196252128.1117793,0.912108135752564
2023-01-01,197081798.35042477,0.9172974357525073
2023-01-02,198067631.3534835,0.9223695906204631
2023-01-03,205773371.17355764,0.958421974475795
2023-01-04,205491193.5377419,0.9569127462798799
2023-01-05,220985029.5268961,1.0306206380954879
2023-01-06,219564496.57236737,1.0223540393253872
2023-01-07,233555914.38337663,1.0870088822075257
2023-01-08,234982077.62612545,1.0954617503916866
2023-01-09,269185138.1593204,1.257638347625988
2023-01-10,270095553.22192353,1.2550762202698418
2023-01-11,271607158.516467,1.266038114553961
2023-01-12,276406309.69303066,1.2842858272834894
2023-01-13,299262171.1904958,1.3926714177587887
2023-01-14,340495686.53585756,1.585713600830385
2023-01-15,371609563.5982884,1.7269077875816916
2023-01-16,391756071.3573166,1.8238200117598127
2023-01-17,384303280.074239,1.7908683221459905
2023-01-18,372683909.29858494,1.7390046634099394
2023-01-19,356891862.6222844,1.6654039400966862
2023-01-20,375312413.33467954,1.7504537440424868
2023-01-21,456807535.4249233,2.133839914896966
2023-01-22,476411225.7029992,2.2143641028954755
2023-01-23,469914908.0523581,2.1898169999958603
2023-01-24,468688903.8017361,2.1841333223068324
2023-01-25,425437370.6844121,1.9854111127501701
2023-01-26,510991800.58534145,2.380461595674193
2023-01-27,475307765.1888434,2.2183292441003024
2023-01-28,488410657.24327296,2.2749024346054063
2023-01-29,466604465.5313184,2.1750208452849753
2023-01-30,512927709.1364211,2.3874434312375947
2023-01-31,456874731.59753394,2.1299721360084547
2023-02-01,464118021.9657793,2.1730973112920204
2023-02-02,584054982.4702249,2.721713445982456
2023-02-03,611498822.4411209,2.8093254954425797
2023-02-04,666619586.3218449,3.1033576369722216
2023-02-05,644098610.2764422,2.9976120912506294
2023-02-06,632800805.0427558,2.940935165071093
2023-02-07,622636543.611792,2.9100077775859168
2023-02-08,649603115.1633415,3.033237392144022
2023-02-09,592614516.9803541,2.762756815731439
2023-02-10,516939544.44791675,2.4012836528644246
2023-02-11,521104876.51106364,2.424507047910404
2023-02-12,537639711.6801909,2.49679852468848
2023-02-13,501333028.4568527,2.332848295614103
2023-02-14,474939980.4988677,2.2107759421656246
2023-02-15,522474812.4919121,2.4309540541868033
2023-02-16,607338402.6845787,2.828129215354648
2023-02-17,563365943.2940707,2.625784029285838
2023-02-18,601839018.8604616,2.8030683490470487
2023-02-19,595308930.5772027,2.7769304555886944
2023-02-20,557064797.9151455,2.585312485981446
2023-02-21,557217177.1234267,2.5902443115042764
